device_id,timestamp,temperature,humidity,location,battery_level
sensor_0767,2/26/2025 9:19,25.32,36.32,East,70.17
sensor_0901,8/12/2025 22:08,21.98,39.58,North,98.07
sensor_0805,6/21/2025 6:06,25.43,68.57,West,78.75
sensor_0576,4/6/2025 13:28,26.17,54.2,East,91.17
sensor_0673,10/25/2025 21:48,16.93,61.36,East,69.89
sensor_0838,8/3/2025 3:37,30.04,42.87,West,74.25
sensor_0676,8/30/2025 19:41,21.26,56.25,East,32.54
sensor_0719,2/20/2025 9:05,19.21,55.69,East,40.72
sensor_0307,3/3/2025 0:05,22.98,56.06,South,55.91
sensor_0159,4/11/2025 12:20,31.42,60.03,South,91.18
sensor_0387,6/15/2025 10:57,22.58,60.79,South,92.53
sensor_0726,3/26/2025 0:57,28.01,41.51,East,95.12
sensor_0587,6/25/2025 22:57,26.88,56.62,South,74.51
sensor_0794,11/17/2025 20:20,27.84,52.98,South,72.4
sensor_0072,10/30/2025 3:05,20.31,67.05,East,33.16
sensor_0384,7/17/2025 16:37,19.05,48.28,North,93.06
sensor_0767,2/6/2025 21:29,20.35,76.39,East,84.29
sensor_0730,9/3/2025 14:24,31.26,48.96,East,48.8
sensor_0714,5/11/2025 10:01,29.01,59.18,North,27.89
sensor_0852,5/5/2025 20:05,16.76,57.25,North,55.15
sensor_0848,1/24/2025 5:41,31.7,59.98,South,28.8
sensor_0806,8/23/2025 21:58,36.22,60.4,South,66.56
sensor_0029,9/29/2025 22:24,22.15,44.5,South,25.11
sensor_0505,4/15/2025 6:17,20.98,65.84,West,93.28
sensor_0177,8/14/2025 12:48,30.58,52.05,West,84.86
sensor_0184,8/18/2025 0:58,27.82,42.5,East,56.17
sensor_0812,6/25/2025 12:52,28.28,42.7,East,92.76
sensor_0803,10/20/2025 21:26,22.74,56.99,East,67.86
sensor_0675,5/19/2025 17:38,22.63,73.16,South,32.19
sensor_0360,2/1/2025 14:42,21.56,51.23,South,75.79
sensor_0147,4/29/2025 13:59,24.13,68.21,West,56.37
sensor_0527,5/9/2025 16:58,22.57,66.02,North,34.27
sensor_0971,8/19/2025 21:05,22.1,72.18,North,87.4
